objectid,filename,title,contributor,chemical composition,date,description,subject,color,luster,streak,Mohs hardness,cleavage,Crystal structure,location,latitude,longitude,source,format
coll001,IMG_2136.jpeg,Blue Apatite,Irene Lewis,Phosphate,2016-08,This is an image of blue apatite in two forms: rough (L) and polished (R).,Minerals ,Blue,Vitreous to subresinous,White,5,Poor to indistinct,Hexagonal,Madagascar,-18.53421975,47.13585698,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll002,IMG_2138.jpeg,Rose Quartz,Irene Lewis,Silicate,2016-09,This is an image of a small rough piece of rose quartz (L) and a polished egg specimen of rose quartz (R).,Minerals ,Pink,Vitreous,Colorless,7,"None, breaks with a conchoidal fracture",Hexagonal,Madagascar,-18.53421975,47.13585698,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll003,IMG_2142.jpeg,Moldavite,Irene Lewis,Silica-rich glass,2017-03,"This is an image of two inch piece of moldavite, which is glass formed from a meteor impact.",Minerals ,Green,Vitreous,White,5 to 5.5,None,Amorphous,Russia,55.76041799,37.66007094,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll004,IMG_2141.jpeg,Hemimorphite,Irene Lewis,Silicate,2017-04,This is an image of a six inch piece of rough hemimorphite.,Minerals ,Light Blue ,Vitreous to pearly,White,4.5 to 5,Brittle with uneven fracture,Orthorhombic,China,41.46652845,116.0062578,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll005,IMG_2146.jpeg,Malachite,Irene Lewis,Carbonate,2017-06,This is an image of an eleven inch polished malachite form.,Minerals ,Shades of Green,Polishes to a very bright,Green, 3.5 to 4,Perfect in one direction; fair in a second direction,Monoclinic,Democratic Republic of the Congo,-4.552782962,16.36941636,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll006,IMG_2144.jpeg,Ruby in Zoisite,Irene Lewis,Silicate,2017-06,"This is an image of a polished obelisk (L) and six inch piece of ruby in zoisite in its raw form (R), it’s also known as Anyolite.",Minerals; Rock ,"Green, Pink, and Black",Vitreous to granular,White,6.5,Perfect in one direction,Orthorhombic,Tanzania,-5.894431757,35.80813007,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll007,IMG_2148.jpeg,Amethyst,Irene Lewis,Silicate,2017-10,This is an image of four specimens of amethyst in its crystalline form.,Minerals ,Purple and White,Vitreous,Colorless,7,"None, typically breaks with a conchoidal fracture",Hexagonal,Brazil,-15.84344799,-46.69777208,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll008,IMG_2150.jpeg,Black Tourmaline,Irene Lewis,Boron Silicate,2018-01,This is an image of three specimens of two inch black tourmaline also known as schorl.,Minerals ,Black,Vitreous,White or Colorless,7 to 7.5,Indistinct,Hexagonal,Brazil,-15.84344799,-46.69777208,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll009,IMG_2160.jpeg,Lapis Lazuli,Irene Lewis,Lazurite; Pyrite; Calcite,2018-04,This is an image of two forms of lapis lazuli: rough (L) and polished (R).,Minerals; Rock ,Blue and Gold,"Dull, but polishes to a bright luster",Blue,5 to 5.5 for lazurite; 3 for calcite,"None, though it may split easily along foliation or calcite veins and layers",N/A,Afghanistan,35.01184718,69.20846466,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll010,IMG_2154.jpeg,Quartz,Irene Lewis,Silicate,2018-05,This is an image of a polished sphere of quartz (L) and a large eight inch crystalline piece of quartz (R).,Minerals ,Clear,Vitreous,Colorless,7,"None, typically breaks with a conchoidal fracture",Hexagonal,Brazil,-15.84344799,-46.69777208,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
